team,squad_ova
Algeria,76.22
Argentina,83.48
Australia,72.13
Austria,77.13
Belgium,82.35
Bosnia and Herzegovina,74.48
Brazil,85.0
Canada,70.52
Cape Verde,69.61
Colombia,78.61
Croatia,79.0
Czech Republic,76.57
DR Congo,72.91
Ecuador,74.65
Egypt,72.65
England,83.13
France,84.7
Germany,84.65
Ghana,74.61
Haiti,63.3
Iran,70.11
Ivory Coast,76.52
Japan,74.39
Mexico,77.7
Morocco,77.13
Netherlands,81.61
New Zealand,66.96
Norway,75.74
Panama,67.42
Paraguay,75.04
Portugal,82.87
Republic of Ireland,74.35
Saudi Arabia,69.43
Scotland,76.09
Senegal,77.3
South Africa,71.04
South Korea,73.52
Spain,84.87
Sweden,76.0
Switzerland,78.13
Tunisia,69.52
Turkey,76.35
United States,74.83
Uruguay,81.04
Uzbekistan,64.25
